Date,date_unix,categories,USD_BTC_EX_High,Transactions_Volume,Transaction_Volume_USD,Number_of_Transactions,Number_of_Transaction_Per_Block,Median_Transaction_Confirmation_Time,LTC_BTC_EX_High,LTC_BTC_EX_Low,LTC_BTC_EX_Average,LTC_BTC_EX_Volume,LTC_BTC_EX_Volume_Currency,USD_BTC_EX_Low,USD_BTC_EX_Volume_BTC,USD_BTC_EX_Volume_Currency,USD_BTC_EX_Weighted_Price,EUR_BTC_EX_High,EUR_BTC_EX_Low,EUR_BTC_EX_Volume_BTC,EUR_BTC_EX_Volume_Currency,EUR_BTC_EX_Weighted_Price
6/18/2017,1497744000,Year_2017,2570.312,201087.12,536083586.1,236554,1631.4,9.66,0.01796,0.01581,0.016885,4606.0894,273861.3374,2407.12,5469.163513,13591415.84,2485.099559,2351,2136.67047,153.5911339,339735.629,2211.948179
6/17/2017,1497657600,Year_2017,2587.999,253325.07,624436120,269937,1823.89,15.69,0.01801,0.01327,0.01564,8303.17114,519355.8364,2425.388,7982.380383,20129912.25,2521.79316,2336.03702,2159.37778,220.6543571,497164.0846,2253.135134
6/16/2017,1497571200,Year_2017,2499.5,299371.01,731207789.2,293141,1915.95,11.13,0.01357,0.01184,0.012705,2129.25503,168390.7321,2370,5806.715692,14276680.18,2458.649766,2247.1387,2090.11877,235.1730873,516124.917,2194.659784
6/15/2017,1497484800,Year_2017,2519,307843.12,753304915.4,287644,2054.59,12.55,0.01245,0.01138,0.011915,2024.6345,170892.2542,2250.585,15549.03701,37037448.81,2381.977018,2178.27152,1885.15844,390.5331451,806268.5426,2064.532941
6/14/2017,1497398400,Year_2017,2725.094,308894.41,848899018.3,291776,2069.33,11.43,0.01221,0.01096,0.011585,1746.10188,152429.7168,2385.548,9771.314466,25276281.9,2586.784203,2399.3188,2107.86721,204.5582879,463246.054,2264.616403
6/13/2017,1497312000,Year_2017,2725.38,316030.55,839906528.5,269098,1830.59,13.5,0.01117,0.01062,0.010895,787.01761,72526.97745,2600,5857.265025,15701792.17,2680.73787,2450,2200.61877,269.7323729,623576.5903,2311.834444
6/12/2017,1497225600,Year_2017,2889.499,221919,657286287.9,222892,1526.65,15.4,0.01143,0.01036,0.010895,1663.45366,154313.1501,2440,13421.50645,36029736.95,2684.477862,2550,2233.834,166.4180974,397617.3255,2389.267344
6/11/2017,1497139200,Year_2017,2887,235847.89,671075205.2,254993,1808.46,16.07,0.01165,0.01014,0.010895,2362.99723,218567.0585,2790,6181.123942,17521574.66,2834.690716,2530,2430,91.83735626,229009.2504,2493.639405
6/10/2017,1497052800,Year_2017,2860,240141.37,678997662,282184,1868.76,15.62,0.0106,0.01012,0.01036,764.87401,73989.25472,2721.374,5380.174645,15020045.14,2791.739326,2576.9,2428.40701,154.6143675,385553.903,2493.648612
6/9/2017,1496966400,Year_2017,2764,290137.13,810352769,307377,1862.89,17.05,0.01105,0.0105,0.010775,779.12449,72475.07632,2685,4304.59791,11736842.87,2726.582859,2462.02012,2363.08409,107.2298082,260375.6678,2428.202309
